Ticker|Name|CIK|SIC
HP|Helmerich & Payne|0000046765|1381
JKHY|Jack Henry & Associates|0000779152|7373
HLF|Herbalife Nutrition|0001180262|5122
HSY|Hershey Company|0000047111|2060
HES|Hess Corporation|0000004447|2911
GDI|Gardner Denver|0001699150|3560
GRMN|Garmin|0001121788|3812
IT|Gartner|0000749251|8741
HGV|Hilton Grand Vacations|0001674168|7000
HLT|Hilton Worldwide|0001585689|7011
HFC|HollyFrontier|0000048039|2911
HOLX|Hologic|0000859737|3844
HD|Home Depot|0000354950|5211
HON|Honeywell International|0000773840|3724
HRL|Hormel Foods|0000048465|2011
HST|Host Hotels & Resorts|0001070750|6798
HHC|Howard Hughes Corporation|0001498828|6798
HPQ|HP Inc.|0000047217|3570
HUBB|Hubbell Incorporated|0000048898|3670
HPP|Hudson Pacific Properties|0001482512|6500
HUM|Humana|0000049071|6324
HBAN|Huntington Bancshares|0000049196|6021
HII|Huntington Ingalls Industries|0001501585|3730
HUN|Huntsman Corporation|0001307954|2800
H|Hyatt Hotels|0001468174|7011
IAC|IAC|0000891103|5990
ICUI|ICU Medical|0000883984|3841
IEX|IDEX Corporation|0000832101|3561
IDXX|Idexx Laboratories|0000874716|2835
INFO|IHS Markit|0001598014|7370
ITW|Illinois Tool Works|0000049826|3560
ILMN|Illumina|0001110803|3826
INCY|Incyte|0000879169|8731
IR|Ingersoll-Rand|0001466258|3822
INGR|Ingredion|0001046257|2040
PODD|Insulet|0001145197|3841
IART|Integra Lifesciences|0000917520|3841
INTC|Intel|0000050863|3674
IBKR|Interactive Brokers|0001381197|6211
ICE|Intercontinental Exchange|0001571949|6200
IGT|International Game Technology|0001619762|7990
IP|International Paper|0000051434|2621
IPG|The Interpublic Group of Companies|0000051644|7311
IBM|IBM|0000051143|3570
IFF|International Flavors & Fragrances|0000051253|2860
INTU|Intuit|0000896878|7372
ISRG|Intuitive Surgical|0001035267|3842
IVZ|Invesco|0000914208|6282
INVH|Invitation Homes|0001687229|6510
IONS|Ionis Pharmaceuticals|0000874015|2834
IPGP|IPG Photonics|0001111928|3674
IQV|IQVIA|0001478242|8731
HPE|Hewlett Packard Enterprise|0001645590|5045
HXL|Hexcel|0000717605|2821
HIW|Highwoods Properties|0000921082|6798
HRC|Hill-Rom|0000047518|3841
JAZZ|Jazz Pharmaceuticals|0001232524|2834
JBHT|J. B. Hunt|0000728535|4213
JBGS|JBG Smith|0001689796|6798
JEF|Jefferies Financial Group|0000096223|6211
JBLU|JetBlue|0001158463|4512
JNJ|Johnson & Johnson|0000200406|2834
JCI|Johnson Controls|0000833444|7380
JLL|JLL|0001037976|6531
JPM|JPMorgan Chase|0000019617|6021
JNPR|Juniper Networks|0001043604|3576
KSU|Kansas City Southern|0000054480|4011
KAR|Kar Auction Services|0001395942|5500
K|Kellogg's|0000055067|2040
KEY|Keycorp|0000091576|6021
KEYS|Keysight Technologies|0001601046|3823
KRC|Kilroy Realty|0001025996|6798
KMB|Kimberly Clark|0000055785|2670
KIM|Kimco Realty|0000879101|6798
KMI|Kinder Morgan|0001506307|4922
KEX|Kirby Corporation|0000056047|4400
KLAC|KLA-Tencor|0000319201|3827
KNX|Knight-Swift|0001492691|4213
KSS|Kohl's|0000885639|5311
KOS|Kosmos Energy|0001509991|1311
KR|Kroger|0000056873|5411
LB|L Brands|0000701985|5621
LHX|L3Harris Technologies|0000202058|3812
LH|LabCorp|0000920148|8071
LRCX|Lam Research|0000707549|3559
LAMR|Lamar Advertising|0001090425|6798
LW|Lamb Weston|0001679273|2030
LSTR|Landstar System|0000853816|4213
LVS|Las Vegas Sands|0001300514|7011
LAZ|Lazard|0001311370|6282
LEA|Lear Corporation|0000842162|3714
LM|Legg Mason|0000704051|6282
LEG|Leggett & Platt|0000058492|2510
LDOS|Leidos Holdings|0001336920|7373
LEN|Lennar Class A|0000920760|1520
LENB|Lennar Class B|0000920760|1520
LII|Lennox International|0001069202|3585
LBRDA|Liberty Broadband Class A|0001611983|4841
LBRDK|Liberty Broadband Class C|0001611983|4841
IRM|Iron Mountain|0001020569|6798
ITT|ITT Inc.|0000216228|3561
JBL|Jabil|0000898293|3672
LLY|Eli Lilly and Company|0000059478|2834
LECO|Lincoln Electric|0000059527|3540
LNC|Lincoln National Corporation|0000059558|6311
LGFA|Lionsgate Class A|0001337587|
LGFB|Lions Gate Ent Class B|0001337587|
LFUS|Littelfuse|0000889331|3613
LYV|Live Nation Entertainment|0001335258|7900
