CDK|CDK Global|1O-k|18|20180814|data/SEC/10-k/CDK/sec_10k_18.txt
CDW|CDW Corporation|1O-k|18|20180301|data/SEC/10-k/CDW/sec_10k_18.txt
CE|Celanese|1O-k|18|20180209|data/SEC/10-k/CE/sec_10k_18.txt
CNC|Centene|1O-k|18|20180220|data/SEC/10-k/CNC/sec_10k_18.txt
CDEV|Centennial Resource Development|1O-k|18|20180226|data/SEC/10-k/CDEV/sec_10k_18.txt
CNP|Centerpoint Energy|1O-k|18|20180222|data/SEC/10-k/CNP/sec_10k_18.txt
CTL|CenturyLink|1O-k|18|20180301|data/SEC/10-k/CTL/sec_10k_18.txt
BXP|Boston Properties|1O-k|18|20180228|data/SEC/10-k/BXP/sec_10k_18.txt
CF|CF Industries Holdings|1O-k|18|20180222|data/SEC/10-k/CF/sec_10k_18.txt
CRL|Charles River Laboratories|1O-k|18|20180213|data/SEC/10-k/CRL/sec_10k_18.txt
CHE|Chemed Corporation|1O-k|18|20180226|data/SEC/10-k/CHE/sec_10k_18.txt
LNG|Cheniere Energy|1O-k|18|20180430|data/SEC/10-k/LNG/sec_10k_18.txt
CHK|Chesapeake Energy|1O-k|18|20180222|data/SEC/10-k/CHK/sec_10k_18.txt
CVX|Chevron Corporation|1O-k|18|20180222|data/SEC/10-k/CVX/sec_10k_18.txt
CIM|Chimera Investment|1O-k|18|20180220|data/SEC/10-k/CIM/sec_10k_18.txt
CHH|Choice Hotels|1O-k|18|20180301|data/SEC/10-k/CHH/sec_10k_18.txt
CB|Chubb Limited|1O-k|18|20180223|data/SEC/10-k/CB/sec_10k_18.txt
CHD|Church & Dwight|1O-k|18|20180223|data/SEC/10-k/CHD/sec_10k_18.txt
XEC|Cimarex Energy|1O-k|18|20180223|data/SEC/10-k/XEC/sec_10k_18.txt
CINF|Cincinnati Financial|1O-k|18|20180223|data/SEC/10-k/CINF/sec_10k_18.txt
CNK|Cinemark Holdings|1O-k|18|20180223|data/SEC/10-k/CNK/sec_10k_18.txt
CTAS|Cintas|1O-k|18|20180727|data/SEC/10-k/CTAS/sec_10k_18.txt
CSCO|Cisco Systems|1O-k|18|20180906|data/SEC/10-k/CSCO/sec_10k_18.txt
CIT|CIT Group|1O-k|18|20180223|data/SEC/10-k/CIT/sec_10k_18.txt
C|Citigroup|1O-k|18|20180223|data/SEC/10-k/C/sec_10k_18.txt
CFG|Citizens Financial Group|1O-k|18|20180301|data/SEC/10-k/CFG/sec_10k_18.txt
CTXS|Citrix Systems|1O-k|18|20180216|data/SEC/10-k/CTXS/sec_10k_18.txt
CLH|Clean Harbors|1O-k|18|20180228|data/SEC/10-k/CLH/sec_10k_18.txt
CLX|Clorox|1O-k|18|20180814|data/SEC/10-k/CLX/sec_10k_18.txt
CME|CME Group|1O-k|18|20180301|data/SEC/10-k/CME/sec_10k_18.txt
CNA|CNA Financial|1O-k|18|20180214|data/SEC/10-k/CNA/sec_10k_18.txt
CNX|CNX Resources|1O-k|18|20180207|data/SEC/10-k/CNX/sec_10k_18.txt
